# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d03-x01-y01 /suppr800_bornktmin300_100M_posthadron_merged.yoda/CMS_2021_I1972986/d03-x01-y01 /suppr800_bornktmin300_100M_prehadron_merged.yoda/CMS_2021_I1972986/d03-x01-y01
DrawOnly=/CMS_2021_I1972986/d03-x01-y01 /suppr800_bornktmin300_100M_posthadron_merged.yoda/CMS_2021_I1972986/d03-x01-y01 /suppr800_bornktmin300_100M_prehadron_merged.yoda/CMS_2021_I1972986/d03-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $1.0 < |y| < 1.5$
RatioPlotReference=/CMS_2021_I1972986/d03-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.96
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	7.983100e+03	4.603969e+02	4.603969e+02
1.330000e+02	1.740000e+02	1.798200e+03	8.858349e+01	8.858349e+01
1.740000e+02	2.200000e+02	4.981500e+02	2.318653e+01	2.318653e+01
2.200000e+02	2.720000e+02	1.479600e+02	6.543361e+00	6.543361e+00
2.720000e+02	3.300000e+02	4.861300e+01	2.096209e+00	2.096209e+00
3.300000e+02	3.950000e+02	1.668200e+01	7.187223e-01	7.187223e-01
3.950000e+02	4.680000e+02	6.039800e+00	2.675839e-01	2.675839e-01
4.680000e+02	5.480000e+02	2.229300e+00	1.043706e-01	1.043706e-01
5.480000e+02	6.380000e+02	8.595100e-01	4.305809e-02	4.305809e-02
6.380000e+02	7.370000e+02	3.238700e-01	1.773338e-02	1.773338e-02
7.370000e+02	8.460000e+02	1.268000e-01	7.715950e-03	7.715950e-03
8.460000e+02	9.670000e+02	4.687200e-02	3.210922e-03	3.210922e-03
9.670000e+02	1.101000e+03	1.777100e-02	1.383052e-03	1.383052e-03
1.101000e+03	1.248000e+03	6.179800e-03	5.554719e-04	5.554719e-04
1.248000e+03	1.410000e+03	2.149900e-03	2.254506e-04	2.254506e-04
