# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d23-x01-y01 /suppr9000_bornktmin750_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d23-x01-y01 /suppr9000_bornktmin750_1B_ParsiParams_MSTP_prehadron_merged.yoda/CMS_2021_I1972986/d23-x01-y01
DrawOnly=/CMS_2021_I1972986/d23-x01-y01 /suppr9000_bornktmin750_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d23-x01-y01 /suppr9000_bornktmin750_1B_ParsiParams_MSTP_prehadron_merged.yoda/CMS_2021_I1972986/d23-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $1.0 < |y| < 1.5$
RatioPlotReference=/CMS_2021_I1972986/d23-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d23-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d23-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.233000e+04	7.341257e+02	7.341257e+02
1.330000e+02	1.740000e+02	2.636100e+03	1.289461e+02	1.289461e+02
1.740000e+02	2.200000e+02	6.942100e+02	3.130901e+01	3.130901e+01
2.200000e+02	2.720000e+02	2.031500e+02	8.814384e+00	8.814384e+00
2.720000e+02	3.300000e+02	6.440400e+01	2.761782e+00	2.761782e+00
3.300000e+02	3.950000e+02	2.195600e+01	9.530258e-01	9.530258e-01
3.950000e+02	4.680000e+02	7.813100e+00	3.487576e-01	3.487576e-01
4.680000e+02	5.480000e+02	2.856500e+00	1.341957e-01	1.341957e-01
5.480000e+02	6.380000e+02	1.076000e+00	5.403755e-02	5.403755e-02
6.380000e+02	7.370000e+02	4.060600e-01	2.223318e-02	2.223318e-02
7.370000e+02	8.460000e+02	1.557300e-01	9.438165e-03	9.438165e-03
8.460000e+02	9.670000e+02	5.818000e-02	3.955196e-03	3.955196e-03
9.670000e+02	1.101000e+03	2.140700e-02	1.654477e-03	1.654477e-03
1.101000e+03	1.248000e+03	7.611300e-03	6.772960e-04	6.772960e-04
1.248000e+03	1.410000e+03	2.565300e-03	2.653674e-04	2.653674e-04
1.410000e+03	1.588000e+03	8.125000e-04	9.902570e-05	9.902570e-05
1.588000e+03	1.784000e+03	2.202300e-04	3.273929e-05	3.273929e-05
1.784000e+03	2.000000e+03	5.505100e-05	1.108755e-05	1.108755e-05
2.000000e+03	2.238000e+03	1.464700e-05	3.883734e-06	3.883734e-06
# END HISTO1D


# BEGIN HISTO1D /suppr9000_bornktmin750_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d23-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr9000_bornktmin750_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d23-x01-y01
ScaledBy=1.99772259624028572e-05
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	2.079980e-01	5.189042e-03	5.189042e-03
1.330000e+02	1.740000e+02	2.754180e-01	5.760832e-03	5.760832e-03
1.740000e+02	2.200000e+02	8.869935e-03	3.029270e-04	3.029270e-04
2.200000e+02	2.720000e+02	1.574880e-03	8.666465e-05	8.666465e-05
2.720000e+02	3.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+02	3.950000e+02	8.724095e-03	3.161154e-04	3.161154e-04
3.950000e+02	4.680000e+02	2.080066e-03	3.037843e-04	3.037843e-04
4.680000e+02	5.480000e+02	1.070661e-01	2.546140e-03	2.546140e-03
5.480000e+02	6.380000e+02	6.168754e-02	1.912564e-03	1.912564e-03
6.380000e+02	7.370000e+02	1.123952e-01	2.267496e-03	2.267496e-03
7.370000e+02	8.460000e+02	1.114650e-01	1.880748e-03	1.880748e-03
