# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d04-x01-y01 /prehadron1.yoda/CMS_2021_I1972986/d04-x01-y01 /posthadron1.yoda/CMS_2021_I1972986/d04-x01-y01
DrawOnly=/CMS_2021_I1972986/d04-x01-y01 /prehadron1.yoda/CMS_2021_I1972986/d04-x01-y01 /posthadron1.yoda/CMS_2021_I1972986/d04-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $1.5 < |y| < 2.0$
RatioPlotReference=/CMS_2021_I1972986/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.96
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	6.398100e+03	3.942272e+02	3.942272e+02
1.330000e+02	1.740000e+02	1.433800e+03	7.805702e+01	7.805702e+01
1.740000e+02	2.200000e+02	3.841500e+02	2.010232e+01	2.010232e+01
2.200000e+02	2.720000e+02	1.126000e+02	5.771391e+00	5.771391e+00
2.720000e+02	3.300000e+02	3.567500e+01	1.820850e+00	1.820850e+00
3.300000e+02	3.950000e+02	1.185000e+01	6.111903e-01	6.111903e-01
3.950000e+02	4.680000e+02	4.059300e+00	2.148317e-01	2.148317e-01
4.680000e+02	5.480000e+02	1.391600e+00	7.705394e-02	7.705394e-02
5.480000e+02	6.380000e+02	4.812600e-01	2.826861e-02	2.826861e-02
6.380000e+02	7.370000e+02	1.591400e-01	1.013618e-02	1.013618e-02
7.370000e+02	8.460000e+02	5.135000e-02	3.641620e-03	3.641620e-03
8.460000e+02	9.670000e+02	1.568000e-02	1.277638e-03	1.277638e-03
9.670000e+02	1.101000e+03	4.298700e-03	4.116181e-04	4.116181e-04
1.101000e+03	1.248000e+03	1.083700e-03	1.278146e-04	1.278146e-04
1.248000e+03	1.410000e+03	1.935200e-04	3.001272e-05	3.001272e-05
1.410000e+03	1.588000e+03	4.504500e-05	9.848151e-06	9.848151e-06
# END HISTO1D


# BEGIN HISTO1D /prehadron1.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/prehadron1.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=8.67315040701541901e+07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	5.446306e+03	1.701599e+03	1.701599e+03
1.330000e+02	1.740000e+02	2.316914e+03	7.146388e+02	7.146388e+02
1.740000e+02	2.200000e+02	4.282485e+02	1.198862e+02	1.198862e+02
2.200000e+02	2.720000e+02	6.763337e+01	1.882104e+01	1.882104e+01
2.720000e+02	3.300000e+02	2.541822e+01	7.633063e+00	7.633063e+00
3.300000e+02	3.950000e+02	7.192729e+00	2.753207e+00	2.753207e+00
3.950000e+02	4.680000e+02	7.090119e+00	2.226209e+00	2.226209e+00
4.680000e+02	5.480000e+02	1.265038e+00	3.869746e-01	3.869746e-01
5.480000e+02	6.380000e+02	6.360430e-01	3.047010e-01	3.047010e-01
6.380000e+02	7.370000e+02	2.382948e-01	1.046126e-01	1.046126e-01
7.370000e+02	8.460000e+02	3.833449e-02	2.084069e-02	2.084069e-02
8.460000e+02	9.670000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.670000e+02	1.101000e+03	1.066444e-02	6.296111e-03	6.296111e-03
1.101000e+03	1.248000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.248000e+03	1.410000e+03	2.053823e-03	1.452284e-03	1.452284e-03
1.410000e+03	1.588000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /posthadron1.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/posthadron1.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=5.11605989339575231e+08
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	7.651353e+03	3.464918e+03	3.464918e+03
1.330000e+02	1.740000e+02	2.857544e+03	1.155280e+03	1.155280e+03
1.740000e+02	2.200000e+02	2.552930e+02	1.571288e+02	1.571288e+02
2.200000e+02	2.720000e+02	1.370099e+02	6.396129e+01	6.396129e+01
2.720000e+02	3.300000e+02	5.082914e+01	2.927698e+01	2.927698e+01
3.300000e+02	3.950000e+02	7.096886e+00	4.775162e+00	4.775162e+00
3.950000e+02	4.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.680000e+02	5.480000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.480000e+02	6.380000e+02	8.120414e-01	4.904070e-01	4.904070e-01
6.380000e+02	7.370000e+02	3.403417e-01	2.437332e-01	2.437332e-01
7.370000e+02	8.460000e+02	8.652200e-02	8.652200e-02	8.652200e-02
8.460000e+02	9.670000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.670000e+02	1.101000e+03	1.522987e-02	1.522987e-02	1.522987e-02
1.101000e+03	1.248000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.248000e+03	1.410000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+03	1.588000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

