# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d23-x01-y01 /COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d23-x01-y01 /COMBINED_POSTHADRON.yoda/CMS_2021_I1972986/d23-x01-y01
DrawOnly=/CMS_2021_I1972986/d23-x01-y01 /COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d23-x01-y01 /COMBINED_POSTHADRON.yoda/CMS_2021_I1972986/d23-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $1.0 < |y| < 1.5$
RatioPlotReference=/CMS_2021_I1972986/d23-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d23-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d23-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.233000e+04	7.341257e+02	7.341257e+02
1.330000e+02	1.740000e+02	2.636100e+03	1.289461e+02	1.289461e+02
1.740000e+02	2.200000e+02	6.942100e+02	3.130901e+01	3.130901e+01
2.200000e+02	2.720000e+02	2.031500e+02	8.814384e+00	8.814384e+00
2.720000e+02	3.300000e+02	6.440400e+01	2.761782e+00	2.761782e+00
3.300000e+02	3.950000e+02	2.195600e+01	9.530258e-01	9.530258e-01
3.950000e+02	4.680000e+02	7.813100e+00	3.487576e-01	3.487576e-01
4.680000e+02	5.480000e+02	2.856500e+00	1.341957e-01	1.341957e-01
5.480000e+02	6.380000e+02	1.076000e+00	5.403755e-02	5.403755e-02
6.380000e+02	7.370000e+02	4.060600e-01	2.223318e-02	2.223318e-02
7.370000e+02	8.460000e+02	1.557300e-01	9.438165e-03	9.438165e-03
8.460000e+02	9.670000e+02	5.818000e-02	3.955196e-03	3.955196e-03
9.670000e+02	1.101000e+03	2.140700e-02	1.654477e-03	1.654477e-03
1.101000e+03	1.248000e+03	7.611300e-03	6.772960e-04	6.772960e-04
1.248000e+03	1.410000e+03	2.565300e-03	2.653674e-04	2.653674e-04
1.410000e+03	1.588000e+03	8.125000e-04	9.902570e-05	9.902570e-05
1.588000e+03	1.784000e+03	2.202300e-04	3.273929e-05	3.273929e-05
1.784000e+03	2.000000e+03	5.505100e-05	1.108755e-05	1.108755e-05
2.000000e+03	2.238000e+03	1.464700e-05	3.883734e-06	3.883734e-06
# END HISTO1D


# BEGIN HISTO1D /COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d23-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/COMBINED_PREHADRON.yoda/CMS_2021_I1972986/d23-x01-y01
ScaledBy=3.45685072895816461e+02
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.339953e+04	8.159087e+00	8.159087e+00
1.330000e+02	1.740000e+02	2.908749e+03	1.707243e+00	1.707243e+00
1.740000e+02	2.200000e+02	7.620267e+02	4.500280e-01	4.500280e-01
2.200000e+02	2.720000e+02	2.259388e+02	1.335028e-01	1.335028e-01
2.720000e+02	3.300000e+02	7.246940e+01	4.358669e-02	4.358669e-02
3.300000e+02	3.950000e+02	2.481502e+01	1.540674e-02	1.540674e-02
3.950000e+02	4.680000e+02	8.836897e+00	5.631423e-03	5.631423e-03
4.680000e+02	5.480000e+02	3.269364e+00	2.215948e-03	2.215948e-03
5.480000e+02	6.380000e+02	1.224827e+00	8.698034e-04	8.698034e-04
6.380000e+02	7.370000e+02	4.629542e-01	3.511190e-04	3.511190e-04
7.370000e+02	8.460000e+02	1.763639e-01	1.512532e-04	1.512532e-04
8.460000e+02	9.670000e+02	6.534770e-02	6.011501e-05	6.011501e-05
9.670000e+02	1.101000e+03	2.392884e-02	2.517953e-05	2.517953e-05
1.101000e+03	1.248000e+03	8.469177e-03	1.054169e-05	1.054169e-05
