# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d04-x01-y01 /suppr160_bornktmin5_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /suppr160_bornktmin5_1B_ParsiParams_MSTP_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
DrawOnly=/CMS_2021_I1972986/d04-x01-y01 /suppr160_bornktmin5_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01 /suppr160_bornktmin5_1B_ParsiParams_MSTP_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK4 jets, $1.5 < |y| < 2.0$
RatioPlotReference=/CMS_2021_I1972986/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.96
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	6.398100e+03	3.942272e+02	3.942272e+02
1.330000e+02	1.740000e+02	1.433800e+03	7.805702e+01	7.805702e+01
1.740000e+02	2.200000e+02	3.841500e+02	2.010232e+01	2.010232e+01
2.200000e+02	2.720000e+02	1.126000e+02	5.771391e+00	5.771391e+00
2.720000e+02	3.300000e+02	3.567500e+01	1.820850e+00	1.820850e+00
3.300000e+02	3.950000e+02	1.185000e+01	6.111903e-01	6.111903e-01
3.950000e+02	4.680000e+02	4.059300e+00	2.148317e-01	2.148317e-01
4.680000e+02	5.480000e+02	1.391600e+00	7.705394e-02	7.705394e-02
5.480000e+02	6.380000e+02	4.812600e-01	2.826861e-02	2.826861e-02
6.380000e+02	7.370000e+02	1.591400e-01	1.013618e-02	1.013618e-02
7.370000e+02	8.460000e+02	5.135000e-02	3.641620e-03	3.641620e-03
8.460000e+02	9.670000e+02	1.568000e-02	1.277638e-03	1.277638e-03
9.670000e+02	1.101000e+03	4.298700e-03	4.116181e-04	4.116181e-04
1.101000e+03	1.248000e+03	1.083700e-03	1.278146e-04	1.278146e-04
1.248000e+03	1.410000e+03	1.935200e-04	3.001272e-05	3.001272e-05
1.410000e+03	1.588000e+03	4.504500e-05	9.848151e-06	9.848151e-06
# END HISTO1D


# BEGIN HISTO1D /suppr160_bornktmin5_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/suppr160_bornktmin5_1B_ParsiParams_MSTP_posthadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=2.46296925721773124e-06
Title=PS+MPI+HAD
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	7.568133e+03	4.845173e+02	4.845173e+02
1.330000e+02	1.740000e+02	1.902601e+03	3.421534e+02	3.421534e+02
1.740000e+02	2.200000e+02	4.016052e+02	7.000928e+00	7.000928e+00
2.200000e+02	2.720000e+02	1.152853e+02	2.345254e+00	2.345254e+00
2.720000e+02	3.300000e+02	3.523057e+01	9.583366e-01	9.583366e-01
3.300000e+02	3.950000e+02	1.156191e+01	4.670301e-01	4.670301e-01
3.950000e+02	4.680000e+02	4.299545e+00	2.302004e-01	2.302004e-01
4.680000e+02	5.480000e+02	1.318768e+00	1.257228e-01	1.257228e-01
5.480000e+02	6.380000e+02	5.465320e-01	6.405023e-02	6.405023e-02
6.380000e+02	7.370000e+02	1.555525e-01	3.177711e-02	3.177711e-02
7.370000e+02	8.460000e+02	7.356629e-02	2.040668e-02	2.040668e-02
8.460000e+02	9.670000e+02	9.730579e-03	6.880844e-03	6.880844e-03
9.670000e+02	1.101000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.101000e+03	1.248000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.248000e+03	1.410000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+03	1.588000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /suppr160_bornktmin5_1B_ParsiParams_MSTP_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=/suppr160_bornktmin5_1B_ParsiParams_MSTP_prehadron_merged.yoda/CMS_2021_I1972986/d04-x01-y01
ScaledBy=2.06431710222725393e-07
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	7.457917e+03	6.338630e+01	6.338630e+01
1.330000e+02	1.740000e+02	1.655166e+03	2.716020e+01	2.716020e+01
1.740000e+02	2.200000e+02	4.233348e+02	8.362077e+00	8.362077e+00
2.200000e+02	2.720000e+02	1.188504e+02	1.049931e+00	1.049931e+00
2.720000e+02	3.300000e+02	3.801428e+01	9.816040e-01	9.816040e-01
3.300000e+02	3.950000e+02	1.221615e+01	1.771004e-01	1.771004e-01
3.950000e+02	4.680000e+02	4.338670e+00	1.863679e-01	1.863679e-01
4.680000e+02	5.480000e+02	1.379326e+00	3.353403e-02	3.353403e-02
5.480000e+02	6.380000e+02	4.985256e-01	1.795049e-02	1.795049e-02
6.380000e+02	7.370000e+02	1.476832e-01	9.081880e-03	9.081880e-03
7.370000e+02	8.460000e+02	5.228026e-02	4.986398e-03	4.986398e-03
8.460000e+02	9.670000e+02	1.295464e-02	2.327742e-03	2.327742e-03
9.670000e+02	1.101000e+03	6.251755e-03	1.516331e-03	1.516331e-03
1.101000e+03	1.248000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.248000e+03	1.410000e+03	5.948585e-04	4.206364e-04	4.206364e-04
1.410000e+03	1.588000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

