# BEGIN PLOT
LegendOnly=/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10T_2_posthadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
DrawOnly=/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01 /Paris_CUETP8M_10T_2_posthadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
Title=CMS, $\sqrt(s)$ = 13 TeV, Inclusive AK7 jets, $0.0 < |y| < 0.5$
RatioPlotReference=/CMS_2021_I1972986/d21-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
LegendXPos=0.65
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.95
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1972986/d21-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1972986/d21-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.473900e+04	7.487453e+02	7.487453e+02
1.330000e+02	1.740000e+02	3.236100e+03	1.419588e+02	1.419588e+02
1.740000e+02	2.200000e+02	8.605300e+02	3.571459e+01	3.571459e+01
2.200000e+02	2.720000e+02	2.574300e+02	1.032110e+01	1.032110e+01
2.720000e+02	3.300000e+02	8.538700e+01	3.318388e+00	3.318388e+00
3.300000e+02	3.950000e+02	2.965500e+01	1.135831e+00	1.135831e+00
3.950000e+02	4.680000e+02	1.099500e+01	4.155528e-01	4.155528e-01
4.680000e+02	5.480000e+02	4.189300e+00	1.578436e-01	1.578436e-01
5.480000e+02	6.380000e+02	1.658000e+00	6.285407e-02	6.285407e-02
6.380000e+02	7.370000e+02	6.663900e-01	2.567876e-02	2.567876e-02
7.370000e+02	8.460000e+02	2.737700e-01	1.083807e-02	1.083807e-02
8.460000e+02	9.670000e+02	1.137100e-01	4.663706e-03	4.663706e-03
9.670000e+02	1.101000e+03	4.685800e-02	2.006821e-03	2.006821e-03
1.101000e+03	1.248000e+03	1.937700e-02	8.757163e-04	8.757163e-04
1.248000e+03	1.410000e+03	7.955900e-03	3.849263e-04	3.849263e-04
1.410000e+03	1.588000e+03	3.274400e-03	1.717812e-04	1.717812e-04
1.588000e+03	1.784000e+03	1.251500e-03	7.276907e-05	7.276907e-05
1.784000e+03	2.000000e+03	4.742700e-04	3.149750e-05	3.149750e-05
2.000000e+03	2.238000e+03	1.815900e-04	1.426657e-05	1.426657e-05
2.238000e+03	2.500000e+03	6.127500e-05	6.279759e-06	6.279759e-06
2.500000e+03	2.787000e+03	1.934800e-05	2.885537e-06	2.885537e-06
2.787000e+03	3.103000e+03	4.600800e-06	1.299444e-06	1.299444e-06
# END HISTO1D


# BEGIN HISTO1D /Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=/Paris_CUETP8M_10T_2_prehadron_merged.yoda/CMS_2021_I1972986/d21-x01-y01
ScaledBy=8.21230048927761709e+03
Title=PS
# xlow	 xhigh	 val	 errminus	 errplus
9.700000e+01	1.330000e+02	1.591751e+04	3.575597e+01	3.575597e+01
1.330000e+02	1.740000e+02	2.521902e+03	6.572114e+00	6.572114e+00
1.740000e+02	2.200000e+02	1.030543e+03	2.939866e+00	2.939866e+00
2.200000e+02	2.720000e+02	2.290221e+02	5.546837e-01	5.546837e-01
2.720000e+02	3.300000e+02	7.394097e+01	1.696123e-01	1.696123e-01
3.300000e+02	3.950000e+02	2.661158e+01	7.151081e-02	7.151081e-02
3.950000e+02	4.680000e+02	1.192370e+01	3.285934e-02	3.285934e-02
4.680000e+02	5.480000e+02	4.671454e+00	1.147563e-02	1.147563e-02
5.480000e+02	6.380000e+02	1.893447e+00	6.971546e-03	6.971546e-03
6.380000e+02	7.370000e+02	6.670408e-01	2.175974e-03	2.175974e-03
7.370000e+02	8.460000e+02	3.136685e-01	1.147772e-03	1.147772e-03
8.460000e+02	9.670000e+02	1.099762e-01	3.461552e-04	3.461552e-04
9.670000e+02	1.101000e+03	4.126558e-02	1.995203e-04	1.995203e-04
1.101000e+03	1.248000e+03	2.163884e-02	9.375875e-05	9.375875e-05
1.248000e+03	1.410000e+03	9.876654e-03	3.557924e-05	3.557924e-05
1.410000e+03	1.588000e+03	3.439775e-03	1.741384e-05	1.741384e-05
1.588000e+03	1.784000e+03	1.427541e-03	7.785041e-06	7.785041e-06
1.784000e+03	2.000000e+03	2.233427e-04	1.861809e-06	1.861809e-06
2.000000e+03	2.238000e+03	1.607462e-04	1.137949e-06	1.137949e-06
2.238000e+03	2.500000e+03	4.124363e-05	4.327005e-07	4.327005e-07
2.500000e+03	2.787000e+03	4.625794e-06	1.052369e-07	1.052369e-07
